questions,answers
what are the course outline of EL last year,"Numerical Methods, VLSI Systems Design, Organizational Behaviour, Elective-I, Electronic Engineering Project, Telecommunication Networks, Elective-II, Entrepreneurship, Electronic Engineering Project"
what do we learn in EE or electronic engineering,"Electronics engineering deals with implementation of applications, principles and algorithms developed within many related fields, for example solid-state physics, radio engineering, telecommunications, control systems, signal processing, systems engineering, computer engineering, instrumentation engineering"
what are the course outline of EE 1st year,"Basic Electrical Engineering, Applied Physics, Functional English, Basic Mechanical Engineering, Calculus, Engineering Drawing, Circuit Analysis, Differential Equations, Engineering Surveying Computers and Programming, Pakistan Studies / Pakistan Studies (For Foreigners), Chinese Language"
what are the course outline of EE 2nd year,"Electronic Devices and Circuits, Data Structures and Algorithms, Linear Algebra and Geometry, Multi Variable Calculus, Academic Writing, Islamic Studies / Ethical Behavior (for Non-Muslims), Chinese Language, Electromagnetic Fields, Instrumentation and Measurement, Signals and Systems, Logic Design and Switching, Theory Probability and Statistics"
what are the course outline of EE 3rd year,"Electrical Machines, Digital Signal Processing, Electrical Power System Distribution, Power Electronics, Numerical Methods, Power System Analysis, Electrical Power Transmission, Feedback Control Systems,  Communication Systems, Business Communication & Ethics"
what are the course outline of EE last year,"Electrical Power System Protection Power Generation, Microprocessor Programming and Interfacing, Occupational Safety and Health Engineering, Economics and Management, Electrical Engineering Project, Organizational Behaviour Entrepreneurship, Alternate Energy Systems, Computer Communication Networks, Electrical Engineering Project"
what do we learn in CE or civil engineering,"Civil engineering is the branch of engineering that deals with the construction and maintenance of our built environment. As their work concerns man-made infrastructure, civil engineers are mainly responsible for public works such as roads, bridges, waterways, airports and railways."
what are the course outline of UE 1st year,"Engineering Surveying-I,Basic Electrical Engineering,Basic Mechanical Engineering,Calculus,Applied Chemistry for Engineers,Pakistan Studies OR,Pakistan Studies (for Foreigners),Engineering Drawing & Drafting-I,Statics and Dynamics,Engineering Materials,Islamic Studies OR,Ethical Behaviour (for Non-Muslims),Linear Algebra & Ordinary,Differential Equations,Functional English,Chinese Language"
what are the course outline of UE 2nd year,"Engineering Drawing and Drafting-II,Mechanics of Solids,Engineering Surveying-II,Business Communication & Ethics,Urban Sociology,Computing Tools and Applications,Chinese Language,Planning and Design of,Transportation Systems,Fluid Mechanics,Probability & Statistics,Law and Regulatory Control Studies,Analysis of Structures,Geology for Engineers"
what are the course outline of UE 3rd year,"Civil Works Quantity &,Cost Estimations,Traffic Engineering and Management,Principlesof Engineering Construction,Urban Infrastructure Planning &,Management,Numerical Analysis,Reinforced Concrete Design,Soil Mechanics-I,Structural Analysis and Design,Urban Hydrology and Municipal,Engineering,Applied Economics for Engineers,Environmental Engineering-I,Introduction to Geo-Infomatics"
what are the course outline of UE last year,"Soil Mechanics-II,Construction and Planning,Management,Hydraulic Engineering and Water,Resource Management,Advanced Technologies and Disaster,Management,Environmental Engineering-II,Urban Engineering Project,Mechanics and Design of steel,Structures,Urban Mass Transportation,Financial Resource Management,Environmental Impact Assessment,Urban Engineering Project,Inter-Disciplinary Elective"
what are the course outline of SE 1st year,"Programming Fundamentals, Fundamentals of Information Technology, Discrete Structures, Functional English, Calculus, Pakistan Studies OR Pakistan Studies (for Foreigners), Software Engineering, Object Oriented Concepts & Programming, Applied Physics, Academic Reading & Writing, Islamic Studies OR Ethical Behaviour(for Non-Muslims), Chinese Language"
what are the course outline of SE 2nd year,"Data Structure Algorithms & Applications, Financial and Cost Accounting, Software Requirement Engineering, Differential Equations & Linear Algebra, Business Communication, Chinese Language, Database Management Systems, Software Design & Architecture, Web Engineering, Probability and Statistics, Professional Ethics"
what are the course outline of SE 3rd year,"Software Construction & Development, Human Computer Interaction, Operating Systems, Formal Methods in Software Engineering, Applied Economics for Engineers, Software Quality Engineering, Software Project Management, E-Commerce, Elective – I, Computer Communication Networks"
what are the course outline of SE last year,"Modeling & Simulation, Network & Information, Security Software Re-Engineering, Elective – II, Software Engineering Project, Entrepreneurship Stochastic Processes, Design Patterns, Elective – III,  Software Engineering Project"
what are the course outline of BCIT 1st year,"Programming Languages, Fundamentals of Information Tech., Differential & Integral Calculus, Applied Physics, Islamic Studies OR Ethical Behaviour (for Non-Muslims), Logic Design & Switching Theory, Discrete Structures, Object Oriented Programming, Functional English, Pakistan Studies OR Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of BCIT 2nd year,"Data Structure Algorithms & Applications, System Analysis Design, Differntial Equations, Academic Reading & Writing, Professional Ethics, Chinese Language, Computer Architecture & Organisation, Database Management Systems, Business Communication, Linear Algebra & Geometry, Financial & Cost Accounting"
what are the course outline of BCIT 3rd year,"Visual Programming, Design & Analysis of Algorithms, Operating Systems, Probability & Statistics, Theory of Automata and Formal Languages, Computer Communication Networks, Web Engineering, Theory of Programming Languages, Artificial Intelligence & Expert Systems, Numerical Methods"
what are the course outline of BCIT last year,"Organisational Behaviour, Elective-I, Network & Information Security, Elective-II, Software Based Project, Parallel & Distributed Computing, Entrepreneurship, Compiller Design, Elective-III, Software Based Project"
what do we learn in CH or chemical engineering,"Chemical engineering is a multi-disciplinary branch of engineering that combines natural and experimental sciences (such as chemistry and physics), along with life sciences (such as biology, microbiology and biochemistry) plus mathematics and economics to design, develop, produce, transform, transport, operate"
what are the course outline of CN 1st year,"Engineering Drawing - I,Statics and Dynamics,Basic Electrical Engineering,Engineering Materials,Calculus,Pakistan Studies OR,Pakistan Studies (for Foreigners),Engineering Surveying - I,Chemistry for Civil Engineers,Introduction to COmputing for Civil,Engineers,Basic Mechanical Engineering,Functional English,Linear Algeba &Ordinary Differential,Equations,Chinese Language"
what are the course outline of CN 2nd year,"Engineering Surveying - II,Mechanics of Solids - I,Geology for Engineers,Business Communication,Islamic Studies OR,Ethical Behaviour (for Non-Muslims),Chinese Language,Engineering Drawing - II,Fluid Mechaics - I,Structural Analysis - I,Professional Ethics,Probability & Statistics,Fundamentals of Applied,Economics for Engineers"
what are the course outline of CN 3rd year,"Reinforced Concrete Design-I,Construction Engineering,Quantity & Cost Estimation,Construction Contracts,Accounting and Financial,Management,Architecture and Town Planning,Transportation Engineering-I,Soil Mechanics-I,Construction Jobsite Engineering,Management,Consturction Economic Analysis,Introduction to Entrepreneurship,and Opportunity Assessment"
what are the course outline of CN last year,"Sustainable Construction,Systems in Building Construction,Hydraulics and Water Resources,Engineering-I,Legal and Regulatory Environment,in the Construction Industry,Environmental Engineering-I,Civil Engineering Project,Civil Engineering Elective,Building Information Modeling,Quality and Safety Aspects in,Construction Engineering,Temporary Structures in,Construction,Heavy Construction Equipment and,Operations,Civil Engineering Project"
what are the course outline of MM 1st year,"Introduction to Engineering, Materials Engineering Mechanics, Workshop Practice, Applied Physics, Functional English, Basic Electricity and Electronics Engineering, Drawing & Computer Graphics, Applied Chemistry, Calculus, Pakistan Studies OR Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of MM 2nd year,"Physical Metallurgy, Engineering Ceramics and Refractory Materials, Mechanics of Materials, Differential Equations and Complex Variables, Metallurgical Thermodynamics and Kinetics, Chinese Language, Production and Refining of Materials, Fundamental of Modern Manufacturing Foundry, Joining of Materials, Computer Programming & Drafting, Islamic Studies OR Ethical Behaviour (for Non-Muslims)"
what are the course outline of MM 3rd year,"Corrosion: Protection and Prevention, Inspection and Testing of Materials, Heat Treatment of Materials, Business Communication and Ethics, Mathematical Methods, Polymer and Composite Materials, Materials Characterisation & Analytical Technique Construction Materials, Applied Economics for Engineers, Entrepreneurship, Advance Mathematical Techniques"
what are the course outline of MM last year,"Phase Transformations in Materials, Nanomaterial’s and Nanotechnology, Surface Engineering, Nuclear Materials, Total Quality Management, Materials Engineering Project, Design and Selection of Materials, Biomedical and Functional Materials, Advance Materials, Material Deformations and Failures: Mechanisms and Analysis Health, Safety & Environment Materials Engineering Project"
what are the course outline of CH 1st year,"Chemical Engineering Principles,Engineering Mechanics,Workshop Practice,Functional English,Applied Physics,Applied Chemistry,Chemical Engineering,Thermodynamics-I,Engineering Drawing,Basic Electricity and Electronics,Pakistan Studies OR,Pakistan Studies (for Foreigners),Calculus,Chinese Language"
what are the course outline of CH 2nd year,"Analytical Chemistry,Chemical Engineering,Thermodynamics-II,Fluid Mechanics-I,Mechanics of Materials,Computer Programming & Drafting,Chinese Language,Chemical Process Industries,Materials & Metallurgy,Fluid Mechanics-II,Ordinary Differential Equations &,Fourier Series,Islamic Studies OR,Ethical Behavior (for Non-Muslims),Particulate Technology"
what are the course outline of CH 3rd year,"Fuel & Energy,Heat Transfer,Chemical Reaction Engineering,Mass Transfer,Advanced Calculus & Linear Algebra,Separation Processes,Chemical Process Control,Business Communication & Ethics,Probability & Statistics,Applied Economics for Engineers"
what are the course outline of CH last year,"Process Modelling & Simulation,Chemical Plant Design,Chemical Process Optimisation,Pet. Ref & Petrochemical,Advanced Mathematical Techniques,Chemical Engineering Project,Industrial Safety & Maint Mang,Industrial Organisation &,Management,Electives,Gas Engineering,Transport Phenomena,Chemical Engineering Project"
what are the course outline of TC 1st year,"Functional English, Introduction to Computing, Basic Electrical Engineering, Programming Languages, Pakistan Studies / Pakistan Studies (for Foreigners), Applied Physic, Basic Electronics, Applied Chemistry for Engineers, Circuit Analysis, Electronic Engineering, Drawing and Workshop, Differential & Integral Calculus, Chinese Language"
what are the course outline of TC 2nd year,"Islamic Studies/ Ethical Behaviour (for Non-Muslims), Signals and Systems, Electronic Devices and Circuits, Digital Logic Design, Differential Equations, Electromagnetic Fields, Chinese Language, Digital Signal Processing, Data Structure and Algorithms, Linear Algebra & Geometry, Instrumentation and Measurement, Academic Writing, Probability & Statistics"
what are the course outline of TC 3rd year,"Business Communication and Ethics, Engineering Economics & Management, Feedback Control Systems, Antenna and Microwave Engineering, Communication System, Integrated Circuits, Occupational Safety & Health, Wireless & Mobile Communication, Optical Fiber Communication, Digital Communication and Information Theory"
what are the course outline of TC last year,"Numerical Methods, Microprocessor programming and interfacing, Electives I, Organization Behaviour, Telecommunication Networks, Telecommunications Engineering Project, Entrepreneurship, Telecommunications Switching Systems, Electives II, Telecommunications Engineering Project"
what are the course outline of PP 1st year,"Introduction to Petrochemicals, Thermodynamics-I, Functional English, Applied Physics, Calculus, Workshop Practice, Introduction to Polymers Engineering, Mechanics Engineering Drawing, Pakistan Studies OR Pakistan Studies (for Foreigners), Basic Electricity and Electronics, Chinese Language"
what are the course outline of PP 2nd year,"Principles of Chemical Processes, Fluid Mechanics, Thermodynamics-II, Computer Programming & Applications, Applied Probability & Statistics, Islamic Studies OR Ethical Behaviour (for Non-Muslims), Polymer & Petrochemical Lab-I, Chinese Language, Polymer Physics Petroleum & Petrochemical Products, Polymer Materials, & Their Characterization Mechanics of Material, Differential Equations & Complex Variables, Polymer & Petrochemical Lab-II"
what are the course outline of PP 3rd year,"Polymer Processing, Polymer Composites, Heat Transfer, Mass Transfer, Applied Numerical Methods, Polymer & Petrochemical Lab-III, Polymer & Petrochemical Lab-IV, Process Control & Instrumentation, Fuels & Combustion, Industrial Organisation and Management, Chemical Reaction Engineering, Applied Economics for Engineers, Business Communication and Ethics, Polymer & Petrochemical Lab-V"
what are the course outline of PP last year,"Petrochemical Processes, Process Equipment Design, Polymer Reaction Engineering, Separation Processes, Process Optimization, Polymer & Petrochemical Engineering Project, Polymer & Petrochemical Lab-VI, Plant Utilities & Safety, Advanced Polymer Engineering, Petroleum Refinery Engineering, Elective Course, Entrepreneurship, Polymer and Petrochemical Engineering Project"
what are the course outline of FD 1st year,"Introduction to Biology (For Pre-Engineering Students), Introduction to Food Engineering, Physics Chemistry, Functional English, Computer Aided Engineering Graphics, Analytical Chemistry, Electronics, Programming Languages, Calculus, Pakistan Studies OR Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of FD 2nd year,"Thermodynamics Engineering, Mechanics, Differential Equations & Fourier Series, Food Chemistry, Islamic Studies OR Ethical Behavior (for Non-Muslims), Chinese Language, Food Biochemistry, Fluid Mechanics, Mechanics of Materials, Food Enzymology, Advanced Calculus & Linear Algebra"
what are the course outline of FD 3rd year,"Unit Operations in Food Engineering-I, Machine Design For Food Engineers, Instrumentation & Measurement for food Engineers, Applied Probability and Statistics, Business Communications & Ethics, Food Microbiology, Heat & Mass Transfer, Unit Operations in Food Engineering-II, Numerical Methods, Applied Economics for Engineers"
what are the course outline of FD last year,"Food Processing, Food Quality Control, Process Control in Food Industry, Electives, Industrial Organization and Management, Food Engineering Project, Food Regulations and Legislation, Electives Food Packaging, Food Plant Layout and Design, Food Engineering Project"
what are the course outline of MY 1st year,"Introduction to Metallurgical Engineering, Functional English, Applied Physics, Engineering Drawing, Calculus, Principles of Electrical Engg., Pakistan Studies/ Pakistan Studies (for Foreigner), Engineering Mechanics, Workshop Practice, Applied Chemistry, Chinese Language"
what are the course outline of MY 2nd year,"Differential Equation and Complex Variables, Furnaces and Refractories, Physical Metallurgy, Mineral Processing, Islamic Studies OR Ethical Behaviour, Chinese Language, Iron Making Processes Instrumentation, Computer Programming and Drafting, Mechanical Behaviour of Materials, Metal Forming and Shaping Processes, Metallugical Thermodynamics and Kinetics"
what are the course outline of MY 3rd year,"Inspection and Testing of Materials, Polymers and Composite Materials, Mathematical Methods, Steel Making Processes, Foundry: Principles, Methods and Practice, Metallurgy of Welding, Non-Ferrous Extractive Metallurgy, Business Communication and Ethics, Heat Treatment of Materials, Applied Economics for Engineers"
what are the course outline of MY last year,"Corrosion Engineering, Vacuum Metallurgy, Metallurgy of Advanced Steels, Fracture Mechanics and Failure analysis Health, Safety and Environment, Entrepreneurship Metallurgical Engg. Project, Metallurgical Plants and Quality Control, Powder Metallurgy, Ind. Org & Management Design, Selection and Characterization of Engg. Materials, Advanced Materials Metallurgical Engg. Project"
what are the course outline of MG 1st year,"Functional English, Fundamentals of IT, Business Mathematics, Fundamentals of Management Principles of Marketing, Pakistan Studies OR Pakistan Studies (for Foreigners), Introduction of Financial Accounting, Principles of Economics, Introduction to Sociology, Introduction to Business Organization, Islamic Studies OR Ethical Behaviour(for Non-Muslims), Chinese Language"
what are the course outline of MG 2nd year,"Oral Communication, Strategic Management Technology, Management Introduction to Business Finance, Micro Economics, Programming Languages, Chinese Language, Applied Statistics, Human Resource, Management Business, Law & Policy, Managerial Accounting, Macro Economics"
what are the course outline of MG 3rd year,"Business & Organizational Communication, Product & Brand Management, Business Research Methods, Business Ethics & Corporate, Social Responsibility Management, Information System Production Management,  Financial Risk Management Operations, Research & Management, Business & Economic Forecasting, Entrepreneurship, Consumer Behaviour & Marketing Management"
what are the course outline of MG last year,"Electives – 1, Electives -2, Electives -3, Electives -4, Electives -5, Final Year Project, Electives -6, Electives -7, E-Commerce, Business Process Management, Final Year Project"
what are the course outline of TS 1st year,"Textile Chemistry, Engineering Mechanics, Functional English, Introduction to Textiles, Textile Raw Materials – I, Computer Programming & Drafting, Calculus, Pakistan Studies OR Pakistan Studies (for Foreigners), Applied Physics, Textile Raw Materials –II, Chinese Language"
what are the course outline of TS 2nd year,"Islamic Studies OR Ethical behavior (for Non-Muslims), Colour Science, Pre-Spinning Processes, High Performance Fibres, Linear Algebra & Ordinary Differential Equations, Elements of Machine Design & Dynamics, Chinese Language, Applied Economics for Engineers, Yarn Production Processes, Weaving Preparatory Processes, Textile Testing-I, Pre-Treatment in Textiles"
what are the course outline of TS 3rd year,"Advanced Yarn production Processes, Textile Dyeing, Weaving Mechanisms, Quality Control in Textiles, Business Communication & Ethics, Textile Testing – II, Utilities for Textile Industry, Textile Printing, Knitting Technology, Organizational Behavior"
what are the course outline of TS last year,"Advanced Fabric Manufacturing Technique, Garment Manufacturing, Textile & Environment Textile Finishing Project, Textile Production, Management Entrepreneurship, Textile Merchandising, Technical Textiles Project"
what are the course outline of DS 1st year,"Introduction to Development Studies, Communication Skills for Development-I, Introduction to Accounting, Functional English, Principles of Economics-I, Introduction to Sociology, Computer Applications in Development-I, Communication Skills for Development-II, Principles of Economics-II, Pakistan Studies OR Pakistan Studies (for Foreigners), Chinese Language"
what are the course outline of DS 2nd year,"Field Survey Methods-I, Theory and Practice of Development, Work Human Development, Computer Applications in Development-II, Development Economics, Statistical Applications in Development-I, Chinese Language, Statistical Applications in Development-II, Participatory Development, Theory and Management of Organisations-I, Islamic Studies OR Ethical Behaviour(for Non Muslims), Field Survey Methods-II"
what are the course outline of DS 3rd year,"Development Planning Workshop-I, Legal Issues in Development, Urban Development, Management of Organisation-II, Linear Programming Elective, Gender and Development, Public Administration, Agricultural Development, Development Planning Workshop-II, Introduction to Linear Algebra and Programme, Political Economy"
what are the course outline of DS last year,"Development Studies Project, Development Planning Workshop-III, Entrepreneurship Microfinance-I, Environmental Issues in Development, Elective Courses, Development Studies, Project Sustainability in Development, Microfinance-II, Development Planning in Pakistan"
how to get scholarships in ned and are the pre requisites for scholarships,Scholarships are awarded on a “need-cum-merit” basis. The scholarship application process is administrated by the NED Controller of Student Affairs. You can also apply online at nedscholars.org/apply. Selection is done through an interview process by NED Controller of Student Affairs and MECH 80-81 alumni representatives. The number of scholarships varies every year based on the number of applicants and availability of funds. Each scholarship will pay NED tuition fees and a monthly stipend.
"if I apply for both self finance and merit, and if I get admission on merit basis then what will be the procedure for refunding self-finance fee.",You Need To Fill APPLICATION FORM FOR REFUND OF SELF FINANCE FEE. You Can Get This Form From NED’s Main Website
how many seats are left in each department,"Candidates would be required to appear before the Interview Committee on specific date and time, as annexed, to choose the discipline from the available seats in their respective category. The selection of discipline / programme is based on a computerized interactive process. The choice of available seats would decrease as one goes down in the order of merit and each candidate will have to make “on-the-spot” choice from the seats available. Therefore, they should come prepared to choose the discipline so as to make quick decision."
is transport facilities cover every area of karachi,"Yes, most of the areas are covered."
how to apply in ehsaas program and what are the procedure to follow,"Higher Education Commission (HEC) offers scholarship titled as “Ehsaas Undergraduate Scholarship Programme” to the deserving students of NED University covering tuition fee + stipend amount. Interested students from First Year of Engg/BS/Arch may apply online at http://ehsaas.hec.org.pk and submit the print out of Ehsaas Scholarship Application Form along-with relevant documents in a proper file mentioning the student’s Name, Class, Discipline, Roll No. Batch and Contact / Cell Number in the title file in person at Student Affairs Department, NED University. The interested students should visit the Website http://ehsaas.hec.org.pk for obtaining the required information to fill-up the application Form."
what is the full form of TCT,Computer Science at TIEST
how many total call lists of karachi board and how many seats reserved in each call list,There are approximately 6 to 7 call lists for Karachi board. Each call list have 70 plus available seats.
A/O level equivalency and original marksheets requirement,Candidates having passed Cambridge Higher School Certificate or General Certificate of Education (‘A’ Level) Examination or equivalent examination must submit relevant document to establish their date of birth.
Details about the different departments and distinctions between them (like what are the differences between SE and BSCS and CIS?),"There are 25 plus departments in NED University. You can find details about each department on respective departmental site. Software engineering is a field largely concerned with the application of engineering processes to the creation, maintenance, and design of software for a variety of different purposes. Computer science takes a broad approach to the study of the principles and use of computers that covers both theory and application. This field involves the understanding and application of both abstract and concrete knowledge. The study of Computer Information Systems (CIS) focuses on the practical applications of computer technology through the study of a broad range of subjects. Professionals in this field may have knowledge and expertise in topics such as software design, communications or business. They are the experts to turn to when it comes to applying technology to business applications."
Which fields are best,"It is highly recommended to opt field according to your interest. However fields that are most selected are civil engineering, electrical engineering, textile engineering, software engineering, computer and information systems engineering and mechanical engineering."
Detailed information about every single procedure,"First you need to register yourself for Pre-Admission Entry Test in Admission Web Portal at NED University Website. After filling form Transaction Slip will be generated, mentioning Transaction ID along with your information and the fees to be submitted in the designated commercial banks using this transaction slip. Admit card will be available at the admission portal after confirmation of the fee submission by the bank (within 3 to 5 working days). Don’t forget to bring the print out of your Pre-Admission Entry Test Admit Card at the day of Entry Test (mentioned in the schedule on admission website). Merit lists of different categories will be displayed on NED Website (www.neduet.edu.pk/admission) as per Admission Schedule. If your name appears in the Merit Lists, Print the filled Application Form from the Admission Web Portal. Signed Admission form, along with all documents mentioned in Document Checklist, are to be submitted at the time of interview as mentioned in the Admission Schedule on Admission Website. Candidate will be called for Pre-Admission Interview as per Admission Schedule. For any further queries, please read the Frequently Asked Questions (faqs) available on NEDUET website."
How to calculate the aggregate,"Aggregate marks are calculated by the sum of 10% SSC/Equivalent, 40% HSSC/Equivalent, and 50% Admission Test. Then divide aggregate marks by 1100 and then multiply with 100 to obtain aggregate percentage."
Which documents are required,"Attested photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate, CNIC / B. FORM. Original to be retained by NED UET are HSC or Equivalent Mark Certificate, IBCC Equivalent Certificate (For Foreign Board), Domicile, Affidavit of non-political activities, Photographs (06 Nos.) – see Photograph guideline for details, Admission Form (Please take the print out of these annexures from Admission Portal, fill it completely and signed). Migration Certificate (Other than Karachi Board) if applicable. "
When admissions will start?,Admission process for session 2022-2023 will start from March. For complete admission schedule please visit NED’s main website.
Study material?,You can use any online platform to prepare for NED’s pre admission test. Use YouTube and google for preparations. Also o can get past papers online for preparation.   
Previous closing list,Please check the pdf CLOSING ADMISSIONS 2018 (2018-19) on NED’s Website.
When will the mid terms be held of first year?,"According to FALL SEMESTER (2021), first year’s midterm were held in January 2022."
How is the cgpa calculated of 2 semester ? And does the gpa of mid terms matter in it?,"Your CGPA is calculated by dividing the sum of the grade points earned by the total credit value of courses you have attempted. For 2 semesters, you can take the average of gpa’s for each semester. Marks scored in midterms are added in term sessionals which holds a major weightage in your semester’s gpa."
When can we apply for COD?,"You have to apply for COD (Change of Department or as some call it Change of Technology, COT) in the 1st year. Since there are many candidates in the university who apply for the COD, so there is a competition for it. They make a merit list which is based on the GPA of your 1st year and the availability of seats in the department you want to move to. So, higher the GPA, higher the chances. The seat availability is totally based on luck."
What's the difficulty level of NED entry test?,"It’s neither easy nor hard. If you want to get yourself admitted into a particular department, you must score good numbers in your Intermediate. The admission policy at NED University is an open merit scheme. Students with the higher numbers can choose any department, therefore as the number of students pick their seats, the departmental quotas started finishing and that is how the eligibility criteria is determined."
What's the criteria of this year?,"Admissions will however, be offered subject to following Conditions: Only those Candidates who had qualified Pre-Admission Entry Test of this University by securing 50% or more Marks (or defined Scores in SAT-I and SAT-II) will be considered for Admission. The Merit List will be based upon the 30% weightage of SSC/Equivalent Examination Marks and 70% weightage of the Scores Secured in Pre-Admission Entry Test (or SAT-I and SAT-II). For more details please visit NED’s main website."
Will NED conduct two tests this year?,"Pre Admission Entry test will be held two time during the year 2021, each candidate may appear in both attempts."
How to ace in NED entry test?,"Start Preparing Early, Understand the Concepts, Focus More on Science Subjects ,Practice from Sample Papers, Keep Yourself Motivated"
What documents are required (original and attested),"Attested Photocopies of Admit Card of NED UET Pre-Admission Entry Test, S.S.C or Equivalent Certificate, S.S.C or Equivalent Marks Certificate and CNIC / B. FORM. Original documents that are to be retained by NED UET are HSC or Equivalent Mark Certificate, IBCC Equivalent Certificate (For Foreign Board), Domicile, Affidavit of non-political activities, Photographs (06) see Photograph guideline for details, Admission Form (Please take the print out of these annexures from Admission Portal, fill it completely and signed). If applicable Migration Certificate (Other than Karachi Board)."
Can one apply for more than one category,"Yes, you can apply for more than one categories."
When will I get student portal?,You’ll get your portal right after your admission.
Where I can find time table of classes on website?,You can get your class timetable on departmental website. Also your class advisor will share.
Do we need to get high percentage in inter to get scholarship or I can get scholarship at low inter percentage?,
Any Information about sports club?,"Sports Section was established at NED University in 1978 that is functioning under the control of Students’ Affairs Department. The Sports Section also organizes NED Interdepartmental Games and Inter Faculty Games every year for the Student of NED University, while, NED University teams participate in Intervarsity Championships that are scheduled under auspices of Higher Education Commission, Islamabad i.e. (Badminton, Basketball, Cricket, Table Tennis, Football, Volleyball, Squash & etc.)."
In which programs pre meds can apply?,"Pre meds can apply for Bio-Medical, management sciences, development studies and English linguistics. "
How many seats for pre medical ?,There are total 17 seats for HSC pre-medical from Karachi Board and 7 seats for A-levels pre-medical.
What is admission criteria of ned,"Admissions will however, be offered subject to following Conditions: Only those Candidates who had qualified Pre-Admission Entry Test of this University by securing 50% or more Marks (or defined Scores in SAT-I and SAT-II) will be considered for Admission. The Merit List will be based upon the 30% weightage of SSC/Equivalent Examination Marks and 70% weightage of the Scores Secured in Pre-Admission Entry Test (or SAT-I and SAT-II). For more details please visit NED’s main website."
After giving test what will be the admission process?,"First you need to register yourself for Pre-Admission Entry Test in Admission Web Portal at NED University Website. After filling form Transaction Slip will be generated, mentioning Transaction ID along with your information and the fees to be submitted in the designated commercial banks using this transaction slip. Admit card will be available at the admission portal after confirmation of the fee submission by the bank (within 3 to 5 working days). Don’t forget to bring the print out of your Pre-Admission Entry Test Admit Card at the day of Entry Test (mentioned in the schedule on admission website). Merit lists of different categories will be displayed on NED Website (www.neduet.edu.pk/admission) as per Admission Schedule. If your name appears in the Merit Lists, Print the filled Application Form from the Admission Web Portal. Signed Admission form, along with all documents mentioned in Document Checklist, are to be submitted at the time of interview as mentioned in the Admission Schedule on Admission Website. Candidate will be called for Pre-Admission Interview as per Admission Schedule. For any further queries, please read the Frequently Asked Questions (faqs) available on NEDUET website."
How to score maximum?,"Start Preparing Early, Understand the Concepts, Focus More on Science Subjects ,Practice from Sample Papers, Keep Yourself Motivated"
Which university is best for cs KU or PAF KIET?,Both universities are good. You can compare course outlines of CS programs for both universities. For more details please visit their websites.
is it necessary that student should go to the campus for refund or is there any other way,"Yes, when you opt for Regular Seat, total self-finance fee will be refunded. Refund of self-finance amount would be against submission of refund form with all relevant documents. You need to submit an application for refund fee. For further details visit NED University website at www.neduet.edu.pk/admission."
how could we find our classes on the very first day,Your course instructor or advisor will guide you. 
how could we find our labs on the very first day,Your course instructor or advisor will guide you. 
onces somebody filled up the form and if ones merit doesnt lie in all the choices that he or she made so at the time of admission do we have the right to choose the field where our merit is without the choice on form,
